timestamp,prediction_latency_ms,prefetch_count,cache_hit_rate,prediction_accuracy
2025-12-02T22:00:21.498256,0.029,1,0.0,0.0
2025-12-02T22:00:22.498271,0.026,2,0.0049,0.0049
2025-12-02T22:00:23.503350,0.027,0,0.0049,0.0049
2025-12-02T22:00:24.509031,0.03,0,0.0049,0.0049
2025-12-02T22:00:25.512070,0.029,0,0.0049,0.0049
2025-12-02T22:00:26.515641,0.029,0,0.0049,0.0049
2025-12-02T22:00:27.520003,0.031,2,0.0049,0.0049
2025-12-02T22:00:28.524380,0.033,0,0.0049,0.0049
2025-12-02T22:00:29.530202,0.032,0,0.0049,0.0049
2025-12-02T22:00:30.534286,0.035,0,0.0049,0.0049
2025-12-02T22:00:31.539094,0.036,0,0.0049,0.0049
2025-12-02T22:00:32.542286,0.035,2,0.0049,0.0049
2025-12-02T22:00:33.547258,0.032,0,0.0049,0.0049
2025-12-02T22:00:34.551279,0.031,0,0.0049,0.0049
2025-12-02T22:00:35.555413,0.025,0,0.0049,0.0049
2025-12-02T22:00:36.561041,0.024,0,0.0049,0.0049
2025-12-02T22:00:37.567237,0.023,2,0.0049,0.0049
2025-12-02T22:00:38.619908,0.023,4,0.0079,0.0079
2025-12-02T22:00:39.579296,0.025,15,0.0085,0.0085
2025-12-02T22:00:40.580587,0.029,0,0.0085,0.0085
2025-12-02T22:00:41.585166,0.03,0,0.0085,0.0085
2025-12-02T22:00:42.589481,0.028,0,0.0085,0.0085
2025-12-02T22:00:43.594607,0.031,0,0.0085,0.0085
2025-12-02T22:00:44.599500,0.03,2,0.0085,0.0085
2025-12-02T22:00:45.606946,0.027,6,0.011,0.011
2025-12-02T22:00:46.609882,0.031,14,0.03,0.03
2025-12-02T22:00:47.613593,0.038,0,0.03,0.03
2025-12-02T22:00:48.619150,0.036,0,0.03,0.03
2025-12-02T22:00:49.623030,0.035,0,0.03,0.03
2025-12-02T22:00:50.626900,0.037,0,0.03,0.03
2025-12-02T22:00:51.631206,0.032,2,0.03,0.03
2025-12-02T22:00:52.645712,0.027,10,0.0436,0.0436
2025-12-02T22:00:53.643472,0.03,15,0.0633,0.0633
2025-12-02T22:00:54.648527,0.033,3,0.0681,0.0681
2025-12-02T22:00:55.653870,0.032,0,0.0681,0.0681
2025-12-02T22:00:56.658780,0.032,0,0.0681,0.0681
2025-12-02T22:00:57.662808,0.03,0,0.0681,0.0681
2025-12-02T22:00:58.669473,0.028,0,0.0681,0.0681
2025-12-02T22:00:59.673506,0.027,2,0.0681,0.0681
2025-12-02T22:01:00.677483,0.028,0,0.0681,0.0681
2025-12-02T22:01:01.682128,0.029,0,0.0681,0.0681
2025-12-02T22:01:02.686425,0.03,0,0.0681,0.0681
2025-12-02T22:01:03.690104,0.028,0,0.0681,0.0681
2025-12-02T22:01:04.694520,0.029,2,0.0681,0.0681
2025-12-02T22:01:05.698568,0.026,0,0.0681,0.0681
2025-12-02T22:01:06.701953,0.025,0,0.0681,0.0681
2025-12-02T22:01:07.706992,0.025,0,0.0681,0.0681
2025-12-02T22:01:08.713986,0.028,14,0.0911,0.0911
2025-12-02T22:01:09.716578,0.027,7,0.1101,0.1101
2025-12-02T22:01:10.721313,0.028,0,0.1101,0.1101
2025-12-02T22:01:11.726913,0.03,0,0.1101,0.1101
2025-12-02T22:01:12.730141,0.03,0,0.1101,0.1101
2025-12-02T22:01:13.736742,0.027,0,0.1101,0.1101
2025-12-02T22:01:14.744272,0.025,2,0.11,0.11
2025-12-02T22:01:15.789827,0.027,14,0.143,0.143
2025-12-02T22:01:16.759786,0.027,5,0.1447,0.1447
2025-12-02T22:01:17.770784,0.028,0,0.1447,0.1447
2025-12-02T22:01:18.775930,0.029,0,0.1447,0.1447
2025-12-02T22:01:19.779876,0.03,0,0.1447,0.1447
2025-12-02T22:01:20.784313,0.028,0,0.1447,0.1447
2025-12-02T22:01:21.788976,0.027,2,0.1447,0.1447
2025-12-02T22:01:22.801544,0.03,12,0.1598,0.1598
2025-12-02T22:01:23.799793,0.03,12,0.1705,0.1705
2025-12-02T22:01:24.805111,0.03,0,0.1705,0.1705
